               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.033156,            0.010037,           0.0066591,             0.93242,             0.81839,             0.89021,             0.40149,            0.026261,           0.0081494,           0.0026648,            0.006535,            0.006535,            0.006535
                 107,            0.035305,            0.010135,           0.0073462,             0.94136,             0.84283,             0.89668,             0.40867,            0.027553,           0.0079732,           0.0024815,            0.006502,            0.006502,            0.006502
                 108,            0.034249,            0.010182,           0.0055869,             0.91254,             0.85087,             0.90338,             0.40773,            0.025842,           0.0080604,           0.0024483,            0.006469,            0.006469,            0.006469
                 109,            0.035035,           0.0098668,           0.0062446,             0.88493,             0.82605,             0.87675,             0.40478,            0.026355,           0.0081127,           0.0030391,            0.006436,            0.006436,            0.006436
                 110,            0.036502,            0.010173,           0.0063341,             0.94492,             0.83119,             0.89482,             0.41718,            0.026211,           0.0080236,           0.0024018,            0.006403,            0.006403,            0.006403
                 111,            0.034213,           0.0099371,           0.0063671,             0.92281,              0.8195,             0.86677,             0.36392,            0.027948,           0.0081378,           0.0024427,             0.00637,             0.00637,             0.00637
                 112,             0.03471,            0.010153,           0.0051328,             0.93793,             0.84117,             0.89727,             0.41563,            0.025939,           0.0080122,           0.0023732,            0.006337,            0.006337,            0.006337
                 113,            0.033156,            0.010453,            0.005962,             0.94941,              0.8474,             0.90031,             0.43089,            0.025732,           0.0078637,           0.0021907,            0.006304,            0.006304,            0.006304
                 114,            0.034103,           0.0098108,           0.0047427,             0.94306,             0.84855,             0.90887,             0.42531,            0.026471,           0.0078215,           0.0023194,            0.006271,            0.006271,            0.006271
                 115,            0.034333,            0.010064,           0.0058064,             0.93573,             0.85414,             0.90517,             0.42022,            0.025711,           0.0078003,            0.002395,            0.006238,            0.006238,            0.006238
                 116,            0.035043,            0.010295,           0.0055242,             0.92668,              0.8684,             0.91501,             0.42905,            0.024783,           0.0078897,           0.0021236,            0.006205,            0.006205,            0.006205
                 117,            0.032609,            0.010042,           0.0057323,             0.93688,             0.87689,             0.91467,             0.43013,            0.027228,           0.0078133,            0.002132,            0.006172,            0.006172,            0.006172
                 118,            0.031637,           0.0096526,           0.0051803,             0.94618,             0.86425,             0.91272,             0.43147,            0.025918,           0.0076661,           0.0023353,            0.006139,            0.006139,            0.006139
                 119,            0.032508,            0.009671,           0.0050941,             0.94451,             0.88248,             0.92299,              0.4362,            0.027004,           0.0076724,           0.0019818,            0.006106,            0.006106,            0.006106
                 120,            0.034153,           0.0097136,           0.0048678,             0.94952,             0.88166,             0.92858,             0.43792,            0.025508,            0.007599,           0.0018994,            0.006073,            0.006073,            0.006073
                 121,             0.03137,           0.0094169,           0.0042004,             0.95714,             0.85852,             0.92138,             0.43453,             0.02657,           0.0078062,           0.0018127,             0.00604,             0.00604,             0.00604
                 122,            0.035285,           0.0098333,           0.0051829,              0.9412,             0.87383,             0.91637,             0.43687,            0.025673,           0.0077749,           0.0021329,            0.006007,            0.006007,            0.006007
                 123,            0.032103,            0.009875,           0.0046492,             0.94392,             0.87159,             0.91657,             0.42828,            0.025281,           0.0076818,           0.0020292,            0.005974,            0.005974,            0.005974
                 124,            0.034983,            0.009818,           0.0056589,             0.94404,             0.87792,             0.92089,             0.44631,            0.025205,           0.0076033,           0.0018612,            0.005941,            0.005941,            0.005941
                 125,            0.033502,           0.0098609,           0.0045727,             0.94106,             0.87178,             0.91683,             0.43337,            0.024549,           0.0077403,           0.0020803,            0.005908,            0.005908,            0.005908
                 126,            0.034278,           0.0094136,           0.0052867,             0.94049,              0.8689,             0.91698,             0.42349,            0.024288,           0.0076688,           0.0019668,            0.005875,            0.005875,            0.005875
                 127,            0.036115,           0.0097491,           0.0046182,              0.9339,             0.86913,             0.91803,             0.42832,            0.024913,           0.0076149,           0.0017611,            0.005842,            0.005842,            0.005842
                 128,            0.035254,            0.010015,           0.0052288,             0.92804,             0.88692,             0.91566,             0.42786,            0.025962,           0.0075715,           0.0018821,            0.005809,            0.005809,            0.005809
                 129,            0.032032,           0.0098776,           0.0048103,             0.95199,             0.89623,             0.93172,             0.44701,             0.02779,           0.0074879,           0.0018805,            0.005776,            0.005776,            0.005776
                 130,            0.035438,           0.0098564,           0.0049429,             0.94487,             0.89118,             0.92757,             0.44569,            0.025867,           0.0075458,           0.0019337,            0.005743,            0.005743,            0.005743
                 131,            0.033892,            0.009658,           0.0041643,              0.9494,             0.88929,             0.92713,             0.42252,            0.025243,           0.0075638,           0.0017094,             0.00571,             0.00571,             0.00571
                 132,             0.03032,           0.0096168,           0.0040256,             0.95337,             0.87538,             0.92635,             0.44985,            0.025907,           0.0076228,           0.0015823,            0.005677,            0.005677,            0.005677
                 133,            0.035061,            0.010264,           0.0043905,             0.92583,             0.90049,             0.93302,             0.45199,            0.024239,           0.0074605,           0.0017043,            0.005644,            0.005644,            0.005644
                 134,            0.033314,           0.0099393,           0.0046202,             0.91938,             0.89458,             0.92686,             0.44166,            0.025054,           0.0075012,           0.0017641,            0.005611,            0.005611,            0.005611
                 135,            0.032587,           0.0095454,           0.0051926,             0.93809,             0.88482,             0.92696,             0.45479,            0.025083,           0.0075559,           0.0018176,            0.005578,            0.005578,            0.005578
                 136,            0.034815,           0.0092062,           0.0042232,             0.92897,             0.89087,             0.92771,             0.44547,             0.02406,           0.0076114,           0.0017753,            0.005545,            0.005545,            0.005545
                 137,            0.033024,           0.0095238,           0.0040347,             0.93392,               0.876,             0.91954,             0.43505,            0.025446,           0.0077629,           0.0019168,            0.005512,            0.005512,            0.005512
                 138,            0.033382,              0.0098,           0.0040357,              0.9512,             0.89162,             0.92357,             0.44781,             0.02402,           0.0074389,           0.0017754,            0.005479,            0.005479,            0.005479
                 139,            0.030632,           0.0090099,           0.0035467,              0.9509,             0.88606,             0.92477,             0.44321,            0.026988,           0.0074977,            0.001725,            0.005446,            0.005446,            0.005446
                 140,            0.034547,           0.0093397,           0.0041229,             0.95137,             0.88241,             0.93018,             0.45612,            0.026691,           0.0074864,            0.001757,            0.005413,            0.005413,            0.005413
                 141,             0.03193,           0.0092973,            0.004569,             0.95603,             0.88996,              0.9356,             0.45617,            0.026329,           0.0073651,           0.0015545,             0.00538,             0.00538,             0.00538
                 142,            0.033066,           0.0095988,           0.0046494,             0.96375,             0.90223,             0.93883,             0.46644,            0.024692,           0.0073834,           0.0015259,            0.005347,            0.005347,            0.005347
                 143,            0.030883,            0.009462,           0.0042415,             0.95135,              0.8988,              0.9293,              0.4494,            0.023975,           0.0074335,           0.0016201,            0.005314,            0.005314,            0.005314
                 144,            0.032642,           0.0094946,             0.00417,             0.94137,             0.90297,             0.93433,             0.46174,            0.023722,           0.0074146,           0.0017014,            0.005281,            0.005281,            0.005281
                 145,            0.030718,           0.0094249,            0.004589,             0.94415,             0.86073,             0.90778,             0.43776,            0.025947,           0.0079452,           0.0017506,            0.005248,            0.005248,            0.005248
                 146,             0.03478,           0.0098424,           0.0044099,             0.95289,             0.86869,             0.92044,             0.44361,            0.024855,           0.0076628,           0.0018286,            0.005215,            0.005215,            0.005215
                 147,            0.031537,           0.0094236,           0.0040935,             0.94673,             0.89385,              0.9301,             0.45461,            0.024729,           0.0074697,           0.0017699,            0.005182,            0.005182,            0.005182
                 148,            0.032032,            0.009627,           0.0039353,              0.9535,             0.89799,             0.93162,             0.45707,            0.024018,           0.0074305,           0.0016315,            0.005149,            0.005149,            0.005149
                 149,            0.031792,           0.0093581,           0.0038881,             0.96419,             0.88164,             0.93243,             0.46293,            0.025072,           0.0075177,           0.0015705,            0.005116,            0.005116,            0.005116
                 150,            0.030653,           0.0096397,           0.0036527,             0.95687,             0.89758,             0.93302,             0.46501,            0.022683,             0.00742,           0.0016356,            0.005083,            0.005083,            0.005083
                 151,            0.032422,           0.0094933,            0.004623,             0.96666,             0.90416,             0.94116,             0.46491,             0.02396,           0.0073545,           0.0015177,             0.00505,             0.00505,             0.00505
                 152,            0.031709,           0.0093099,           0.0037094,              0.9554,             0.90263,             0.94274,             0.47065,            0.023867,           0.0073592,           0.0014107,            0.005017,            0.005017,            0.005017
                 153,            0.031347,           0.0094076,           0.0034067,             0.95759,             0.89715,             0.93433,              0.4687,            0.024293,           0.0074472,           0.0015103,            0.004984,            0.004984,            0.004984
                 154,            0.030767,           0.0092409,           0.0039464,             0.96239,             0.88489,             0.93555,             0.47343,            0.025394,           0.0074001,           0.0014689,            0.004951,            0.004951,            0.004951
                 155,            0.029317,            0.009316,            0.003229,             0.95607,             0.87917,             0.93252,              0.4584,            0.024219,           0.0074609,           0.0014615,            0.004918,            0.004918,            0.004918
